SZN,SLPR_ID,NM,POS,AGE,TM,PRK_PPR,PRK_0.5P,PRK_STD,FPT_PPR,FPTS_0.5,FPTS_STD,GM_ACTV,GM_P,GM,TM_SNP,SNP,FUM,CMP%,paAY,paATT,CMP,pa1D,INC,INT,paRTG,pa.ruYDS,SAC,paTD,paYDS,paYPA,paYPC,REC,recAY,DRP,rec1D,recTD,TGT,YAC,recYDS,YPR,YPT,CAR,BTKL,ru1D,ru.recYDS,ruTD,YCO,ruYDS,YPC,SNP%,MTF,YCO/A,MTF/A,ruIMP,ELU,IMP,OPP,IMP/OPP,IMP/G,RR,TS%,YPRR,1DRR,pIMP,pIMP/A,TTT,DP%,PRS%,AYA,DB,YDS(t),CPOE,EPA/DB,YPG(t),paYPG,ruYPG,RYOE,EXPLSV%,recYPG,AY/Tgt,AY%,RZ Tgt,10+ Tgt,Quick Tgt,EZ Tgt,FPOE(t),FPOE,PROJ,CSTY%,CL
2025,9998,Hendon Hooker,QB,27.9,FA,286,286,286,0,0,0,12,0,0,122,0,0,0.0%,0,0,0,0,0,0,0.00,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0.0%,NA,NA,NA,0,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,#N/A,#N/A,#N/A,#N/A,#N/A,0,#N/A,#N/A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0,0.0,0.0,NA,NA
2025,8253,Deven Thompkins,WR,26.0,ATL,189,190,190,6.2,4.7,3.2,14,4,0,404,17,0,0.0%,0,0,0,0,0,0,0.00,5,0,0,0,0.00,0.00,3,7,0,1,0,3,20,27,9.0,9.0,1,0,0,32,0,0,5,5,4.2%,NA,NA,NA,0,NA,1,4,0.250,0.3,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,32,NA,NA,8.0,0.0,1.3,NA,NA,6.8,NA,NA,NA,NA,NA,NA,0.0,0.0,4.3,0%,NA
2025,9489,Justin Shorter,WR,25.6,LV,1127,1126,1125,0,0,0,17,3,0,415,5,0,0.0%,0,0,0,0,0,0,0.00,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,1.2%,NA,NA,NA,0,NA,0,0,NA,0.0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,0.0,0.0,0.0,NA,NA,0.0,NA,NA,NA,NA,NA,NA,0.0,0.0,0.0,NA,NA
2025,5086,Marquez Valdes-Scantling,WR,31.2,FA,131,134,141,32,25,18,15,10,0,625,276,1,0.0%,0,0,0,0,0,0,0.00,0,0,0,0,0.00,0.00,14,92,0,5,1,29,28,120,8.6,4.1,0,0,0,120,0,0,0,0,44.2%,NA,NA,NA,0,NA,6,29,0.207,0.6,229,5.3%,0.52,0.022,0,NA,NA,NA,NA,NA,NA,120,NA,NA,12.0,0.0,0.0,NA,NA,12.0,11.8,11.1%,5,14,17,4,0.2,0.2,29.7,0.0%,7.5
2025,7602,Kylen Granson,TE,27.7,TEN,92,92,95,11,7.5,4,17,17,3,988,195,0,0.0%,0,0,0,0,0,0,0.00,0,0,0,0,0.00,0.00,7,27,1,3,0,9,13,40,5.7,4.4,0,0,0,40,0,0,0,0,19.7%,NA,NA,NA,0,NA,3,9,0.333,0.2,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,40,NA,NA,2.4,0.0,0.0,NA,NA,2.4,NA,NA,NA,NA,NA,NA,-0.2,-0.2,14.7,0.0%,3.3
2025,10221,Ronnie Bell,WR,25.9,NO,179,176,171,10.3,9.3,8.3,16,0,0,54,2,0,0.0%,0,0,0,0,0,0,0.00,0,0,0,0,0.00,0.00,2,22,0,0,1,4,1,23,11.5,5.8,0,0,0,23,0,0,0,0,3.7%,NA,NA,NA,0,NA,1,4,0.250,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0,0.0,0.0,NA,NA
2025,1234,Russell Wilson,QB,37.0,FA,44,44,44,52.84,52.84,52.84,12,6,3,829,220,3,5798.0%,455,119,69,29,50,3,77.40,937,10,3,831,6.98,12.04,0,0,0,0,0,0,0,0,0.0,0.0,18,0,6,106,0,0,106,5.89,26.5%,NA,NA,NA,6,NA,38,137,0.277,6.3,NA,NA,NA,NA,32,26.9%,2.73,15.1%,40.4%,9.30,141,937,-3.9%,-0.18,156.2,138.5,17.7,NA,NA,0.0,NA,NA,NA,NA,NA,NA,-2.3,-2.6,59.9,17.0%,16.5
2025,4663,Austin Ekeler,RB,30.6,FA,97,98,103,13.1,10.6,8.1,17,0,2,139,69,0,0.0%,0,0,0,0,0,0,0.00,43,0,0,0,0.00,0.00,5,-11,0,2,0,7,49,38,7.6,5.4,14,0,3,81,0,0,43,3.07,49.6%,0,0.00,0.000,3,0.000,5,21,0.238,NA,35,1.5%,1.09,0.057,0,NA,NA,NA,NA,NA,NA,81,NA,NA,NA,NA,NA,-9,0.00%,NA,NA,NA,NA,NA,NA,NA,0.0,0.0,0.0,NA,NA
2025,5113,Cedrick Wilson,WR,30.0,FA,181,180,183,9.4,6.9,4.4,13,0,5,531,170,0,0.0%,0,0,0,0,0,0,0.00,0,0,0,0,0.00,0.00,5,19,0,3,0,9,25,44,8.8,4.9,0,0,0,44,0,0,0,0,32.0%,NA,NA,NA,0,NA,3,9,0.333,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0,0.0,0.0,NA,NA
2025,6659,Craig Reynolds,RB,29.5,FA,134,134,134,0.4,0.4,0.4,12,2,0,440,4,0,0.0%,0,0,0,0,0,0,0.00,4,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0.0,0.0,3,0,0,4,0,0,4,1.33,0.9%,0,0.00,0.000,0,0.000,0,3,0.000,0.0,#N/A,NA,#VALUE!,NA,0,NA,NA,NA,NA,NA,NA,4,NA,NA,4.0,0.0,4.0,#N/A,#N/A,0.0,NA,NA,NA,NA,NA,NA,-0.5,-0.6,5.8,NA,NA
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,NA,NA,NA,0,NA,0,0,NA,NA,,NA,NA,NA,0,NA,,,,,,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0,0.0,0.0,#N/A,#N/A
